Group 1,Group 2,H,p-value,q-value
B101 (n=12),B103 (n=15),0.34285714285714164,0.558184649422658,0.837276974133987
B101 (n=12),B105 (n=16),0.10560344827587187,0.7452061672621304,0.947261795040074
B101 (n=12),B107 (n=11),1.5151515151515156,0.2183546905658981,0.7503559417409933
B101 (n=12),B109 (n=12),0.013333333333335418,0.908072555255968,0.9630118859851623
B101 (n=12),B141 (n=5),9.344444444444441,0.0022366244452098733,0.08722835336318506
B101 (n=12),B143 (n=10),0.8521739130434725,0.3559380749284199,0.7503559417409933
B101 (n=12),B145 (n=7),0.3500000000000014,0.5541131300694447,0.837276974133987
B101 (n=12),B147 (n=4),0.2352941176470722,0.6276258050283495,0.890087505312932
B101 (n=12),B159 (n=7),0.4571428571428555,0.49896229860376173,0.8161199857230601
B101 (n=12),BBT2014-00029 (n=1),0.6428571428571459,0.4226780741706343,0.8128272005059649
B101 (n=12),BBT2014-00035 (n=1),1.142857142857146,0.285049407402609,0.7503559417409933
B101 (n=12),BBT2014-00038 (n=1),0.0714285714285765,0.7892680261342739,0.947261795040074
B103 (n=15),B105 (n=16),0.6890624999999915,0.40648344235658285,0.8128272005059649
B103 (n=15),B107 (n=11),2.845117845117855,0.09165187345070028,0.6498951026504202
B103 (n=15),B109 (n=12),0.02142857142857224,0.8836174593813662,0.9585724656328369
B103 (n=15),B141 (n=5),10.150476190476198,0.0014426397279202333,0.08722835336318506
B103 (n=15),B143 (n=10),0.04923076923076053,0.8244072390754643,0.947261795040074
B103 (n=15),B145 (n=7),0.6571428571428442,0.41757043791774484,0.8128272005059649
B103 (n=15),B147 (n=4),1.000000000000007,0.3173105078629095,0.7503559417409933
B103 (n=15),B159 (n=7),0.2795031055900523,0.5970270839661158,0.8786436330067364
B103 (n=15),BBT2014-00029 (n=1),0.5764705882352956,0.44769907246529284,0.8128272005059649
B103 (n=15),BBT2014-00035 (n=1),0.5764705882352956,0.44769907246529284,0.8128272005059649
B103 (n=15),BBT2014-00038 (n=1),0.011764705882356452,0.9136266610628463,0.9630118859851623
B105 (n=16),B107 (n=11),0.5478896103896176,0.45918128255357404,0.8128272005059649
B105 (n=16),B109 (n=12),0.13793103448276156,0.7103465689955638,0.9391022437568471
B105 (n=16),B141 (n=5),6.552272727272722,0.010475027211697055,0.22253470952703272
B105 (n=16),B143 (n=10),1.0027777777777942,0.31663929919602385,0.7503559417409933
B105 (n=16),B145 (n=7),0.0714285714285694,0.7892680261342842,0.947261795040074
B105 (n=16),B147 (n=4),0.0357142857142847,0.850106739138528,0.947261795040074
B105 (n=16),B159 (n=7),0.21875,0.6399940105774465,0.8914202290185862
B105 (n=16),BBT2014-00029 (n=1),0.1666666666666643,0.6830913983096107,0.9193295526119786
B105 (n=16),BBT2014-00035 (n=1),1.5,0.22067136191984324,0.7503559417409933
B105 (n=16),BBT2014-00038 (n=1),0.0,1.0,1.0
B107 (n=11),B109 (n=12),1.6704545454545467,0.19619766291265722,0.7503559417409933
B107 (n=11),B141 (n=5),5.932620320855619,0.01486312507129314,0.231864751112173
B107 (n=11),B143 (n=10),2.856198347107437,0.09102238821888053,0.6498951026504202
B107 (n=11),B145 (n=7),0.24812030075187153,0.6184017523240197,0.890087505312932
B107 (n=11),B147 (n=4),0.06818181818182012,0.7940026801927591,0.947261795040074
B107 (n=11),B159 (n=7),0.16609706083389852,0.6836040263012149,0.9193295526119786
B107 (n=11),BBT2014-00029 (n=1),0.020979020979019936,0.8848361221226188,0.9585724656328369
B107 (n=11),BBT2014-00035 (n=1),2.53846153846154,0.11110299424196093,0.6571954580543486
B107 (n=11),BBT2014-00038 (n=1),0.5244755244755197,0.468938769522672,0.8128272005059649
B109 (n=12),B141 (n=5),6.399999999999999,0.011412036386001677,0.22253470952703272
B109 (n=12),B143 (n=10),0.5260869565217376,0.4682566461534069,0.8128272005059649
B109 (n=12),B145 (n=7),0.864285714285721,0.3525421374997111,0.7503559417409933
B109 (n=12),B147 (n=4),0.3676470588235361,0.5442896244293984,0.837276974133987
B109 (n=12),B159 (n=7),1.028571428571425,0.31049443431723295,0.7503559417409933
B109 (n=12),BBT2014-00029 (n=1),1.142857142857146,0.285049407402609,0.7503559417409933
B109 (n=12),BBT2014-00035 (n=1),1.7857142857142918,0.18144920772141568,0.744896747487917
B109 (n=12),BBT2014-00038 (n=1),0.0,1.0,1.0
B141 (n=5),B143 (n=10),3.375,0.06619257972219346,0.5736690242590099
B141 (n=5),B145 (n=7),4.806593406593407,0.02835103732922766,0.2764226139599697
B141 (n=5),B147 (n=4),4.859999999999999,0.027486336111510433,0.2764226139599697
B141 (n=5),B159 (n=7),5.54505494505495,0.0185329748770265,0.2409286734013445
B141 (n=5),BBT2014-00029 (n=1),2.1428571428571423,0.14323490752466572,0.6571954580543486
B141 (n=5),BBT2014-00035 (n=1),2.1428571428571423,0.14323490752466572,0.6571954580543486
B141 (n=5),BBT2014-00038 (n=1),2.1428571428571423,0.14323490752466572,0.6571954580543486
B143 (n=10),B145 (n=7),1.3714285714285666,0.24156658696897032,0.7503559417409933
B143 (n=10),B147 (n=4),0.9799999999999969,0.3221988061625795,0.7503559417409933
B143 (n=10),B159 (n=7),1.1523809523809518,0.28305128705188176,0.7503559417409933
B143 (n=10),BBT2014-00029 (n=1),0.8999999999999986,0.34278171114790906,0.7503559417409933
B143 (n=10),BBT2014-00035 (n=1),0.8999999999999986,0.34278171114790906,0.7503559417409933
B143 (n=10),BBT2014-00038 (n=1),0.10000000000000142,0.7518296340458476,0.947261795040074
B145 (n=7),B147 (n=4),0.0,1.0,1.0
B145 (n=7),B159 (n=7),0.03673469387754835,0.8480062142193152,0.947261795040074
B145 (n=7),BBT2014-00029 (n=1),0.4285714285714306,0.5126907602619224,0.8161199857230601
B145 (n=7),BBT2014-00035 (n=1),2.333333333333332,0.1266304579476157,0.6571954580543486
B145 (n=7),BBT2014-00038 (n=1),0.0476190476190439,0.8272593465627179,0.947261795040074
B147 (n=4),B159 (n=7),0.0357142857142847,0.850106739138528,0.947261795040074
B147 (n=4),BBT2014-00029 (n=1),0.0,1.0,1.0
B147 (n=4),BBT2014-00035 (n=1),2.0,0.15729920705028105,0.6816298972178845
B147 (n=4),BBT2014-00038 (n=1),0.5,0.47950012218695337,0.8130654245778774
B159 (n=7),BBT2014-00029 (n=1),0.4285714285714306,0.5126907602619224,0.8161199857230601
B159 (n=7),BBT2014-00035 (n=1),2.333333333333332,0.1266304579476157,0.6571954580543486
B159 (n=7),BBT2014-00038 (n=1),0.0476190476190439,0.8272593465627179,0.947261795040074
BBT2014-00029 (n=1),BBT2014-00035 (n=1),1.0,0.31731050786291115,0.7503559417409933
BBT2014-00029 (n=1),BBT2014-00038 (n=1),1.0,0.31731050786291115,0.7503559417409933
BBT2014-00035 (n=1),BBT2014-00038 (n=1),1.0,0.31731050786291115,0.7503559417409933
