sample-id	input	filtered	denoised	non-chimeric
#q2:types	numeric	numeric	numeric	numeric
00954e18.1dcf.40fc.a52e.255f5cda6f9c	278	276	262	262
0476f5aa.a4f4.4835.ada1.4e72fb601e0a	467	459	419	419
04ea008a.d444.4833.988c.a2a3f5d4ad23	133	133	100	100
08ea0c6b.7a30.4074.bbf6.557480fc5285	383	379	348	348
0eb12bd1.4548.4004.8dcd.1a71de8b1df5	482	468	437	437
1037164d.a836.4ebe.bf98.92294a0b60ab	324	321	301	301
1230c3fd.efa4.4ad9.8f01.499141965b11	554	546	509	509
14c94c5e.aaf2.414f.a72f.74ccc134b294	470	468	438	438
1654ccec.557a.40f3.b4d9.b263f9e2ad4e	415	410	378	378
18f853f2.0e63.400e.baac.cad966c6c0a0	278	276	237	237
1c4ca381.9cc3.4313.a11e.df350bb73ec9	226	226	189	189
1fe19636.3708.4a87.8e5a.cf10d8530d4e	86	84	55	55
230994e3.5682.432f.b4e4.454ca1901e0f	363	360	330	330
28e84479.bd9f.4d55.bb03.1411b71bdc9b	348	345	322	322
2adb40fd.6824.44f2.b71f.dc73c9f82b16	478	469	445	445
2f79545d.8a5d.4fc5.a0ac.5da133096ee3	296	296	281	281
3b2b88b4.90b1.44d2.a015.e80e723e996f	493	491	458	458
4f2698fd.665f.4ed1.be97.ffc1529e21b0	414	413	362	362
55f8d345.8251.43a1.ab05.c9418f6fefd7	324	318	287	287
5802a92b.5471.435b.bca9.b03e1cef9a14	153	152	136	136
593b1c57.09b3.43f2.97b1.7051761e13c9	126	124	98	98
5a8541e7.b0a2.48c0.8fa1.4cba3f011111	331	328	308	308
5f291738.ae0e.4805.a842.cd2bb5b50f26	281	276	239	239
632924ab.bf85.4b8b.b603.f338294a0d9d	246	245	223	223
7af6e763.ab6a.49e9.ac6d.5da1c74c54bd	386	384	351	351
81a16ca3.6299.40f0.ae7b.fe2dd2ac4243	438	434	409	409
832ba500.7ff2.4c91.ac33.76a3aca26460	172	172	152	152
84120710.dd14.4def.90b4.c34cbcedd38e	393	386	355	355
89d77704.b4a7.497d.be45.7d0612828999	164	164	142	142
ad0865f4.0719.4c22.9a3e.1d5ec2f9ad4c	390	385	366	366
aef9e193.1f8c.429e.bfdf.38bb59235e7d	369	366	351	351
b35cd9d4.2301.4c7e.bfb9.f4c329d492e0	199	198	187	187
c2072c98.e9a0.4af2.8cc1.c03be62710d8	366	362	341	341
c287751e.0263.4fda.8aa2.3b717855e2ee	247	245	214	214
c2e216e3.51c4.4894.8352.48d0fef7efc7	281	281	269	269
c34ddc28.a67b.4478.b42d.7be7542bb228	150	146	135	135
ce5c847c.452d.46fc.96d9.ba2ff164a5ab	412	407	381	381
cfc37a70.9ba6.4d25.b541.4c0ff9d1bfeb	425	418	382	382
cfe0d2d7.c78b.4092.b923.3322b4312c6d	467	462	421	421
d8f4038a.7576.4fd3.89c3.60a3f6bc06c0	332	326	297	297
e423f626.6364.438b.ab33.a76afca3c521	220	216	189	189
e8c5ac44.36bc.41cc.8096.d3090e9b156c	194	194	176	176
e9494e22.99d6.4e10.868f.208832eb3104	420	418	390	390
ea68ac1a.53e3.4523.924f.32ca1d2ac988	461	458	448	435
eb4ece61.6afe.4c88.8a06.d616dab1dd34	241	239	210	210
fa4e5dcc.7b0a.4fb1.989d.b19aec98e047	504	495	476	476
fa6fda2b.4a99.4231.9325.0d74d8ae451c	464	457	422	422
fadb8582.a342.46ba.8926.98ff97240824	444	443	416	416
